File,Timestamp,PageNumber,HighlightedText,UserNote
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/21/2020 00:03",65,"You need to use the thread of logic, as best you can, to skillfully sew onto yourself everything that’s worth living for",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/22/2020 01:47",82,"There must be something in him, something fundamental, that disenchanted people. “Colorless Tsukuru Tazaki,” he said aloud. I basically have nothing to offer to others. If you think about it, I don’t even have anything to offer myself.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/25/2020 01:03",109,"You didn’t say much, but you had your feet solidly planted on the ground, and that gave the group a sense of security. Like an anchor.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/25/2020 23:49",118,"Outsourcing employee education.”",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/25/2020 23:57",122,"You can hide memories, but you can’t erase the history that produced them.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/26/2020 00:00",124,"placid ",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/27/2020 00:07",145," joy of really wanting something and struggling to get ",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/27/2020 23:56",148,"“May the force be with you,” she said. “So you don’t lose out to the salmon.”",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/28/2020 00:05",154,"He wore his usual outfit—chinos, black polo shirt, sneakers, and a light brown cotton jacket",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/28/2020 00:17",161,"Some things in life are too complicated to explain in any language.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/29/2020 02:07",179,"Maybe it’s part of my personality, something I was born with. Maybe I’ve always had an instinctive tendency to leave a buffer zone between me and others",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/31/2020 00:06",191,"“Everyone alive has a personality. It’s just more obvious with some people than with others.” ",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/31/2020 00:14",196,"no brilliant color. I have nothing to offer. That’s always been my problem. I feel like an empty vessel. I have a shape, I guess, as a container, but there’s nothing inside. I just can’t see myself as the right person for her. I think that the more time passes, and the more she knows about me, the more disappointed Sara will be, and the more she’ll choose to distance herself from me.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/31/2020 00:46",214,"Tsukuru Tazaki had nowhere he had to go. This was like a running theme of his life. He had no place he had to go to, no place to come back to. He never did, and he didn’t now. The only place for him was where he was now.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","8/31/2020 00:48",215,"He had no one he could call a close friend",
"file:///sdcard/My Files/Webpages/Making Better Games Through Iteration (2020.09.03-06.40.55Z).epub","9/4/2020 18:33",2," iterative developmental process",
"file:///sdcard/My Files/Books/Ikigai The Japanese Secret to a Long and Happy Life by Héctor García, Francesc Miralles (z-lib.org).epub","9/11/2020 00:58",44,"Csikszentmihalyi called this state “flow,” and described it as the pleasure, delight, creativity, and process when we are completely immersed in life.",
"file:///sdcard/My Files/Books/Ikigai The Japanese Secret to a Long and Happy Life by Héctor García, Francesc Miralles (z-lib.org).epub","9/11/2020 01:04",49,"a happy man is too satisfied with the present to dwell on the future.”",
"file:///sdcard/My Files/Books/Ikigai The Japanese Secret to a Long and Happy Life by Héctor García, Francesc Miralles (z-lib.org).epub","9/13/2020 01:35",105,"Fall seven times, rise eight.",
"file:///sdcard/My Files/Books/Ikigai The Japanese Secret to a Long and Happy Life by Héctor García, Francesc Miralles (z-lib.org).epub","9/13/2020 01:41",109,"Japanese culture accepts the fleeting nature of the human being and everything we create.",
"file:///media/Books/Colorless Tsukuru Tazaki and His Years of Pilgrimage A novel by Murakami Haruki (z-lib.org).epub","9/15/2020 01:07",32,"You can hide memories, but you can’t erase the history that produced them",
"file:///media/Books/Fluent Japanese from Anime and Manga How to Learn Japanese Vocabulary, Grammar, and Kanji the Easy and Fun Way by Eric Bodnar (z-lib.org).epub","9/17/2020 00:30",16,"When you have no way of judging whether or not you are improving at a skill, quitting is inevitable.",
"file:///media/Books/Fluent Japanese from Anime and Manga How to Learn Japanese Vocabulary, Grammar, and Kanji the Easy and Fun Way by Eric Bodnar (z-lib.org).epub","9/19/2020 08:34",27,"Boredom is our brain's way of telling us that we are going to burn out if we continue to push ourselves to learn from the same material day after day",
"calibre:5 uuid:dcf8c984-0abf-4110-89c9-1088c1a8de7b 9780134835211","10/10/2020 08:43",102,"normalized() #",
"calibre:5 uuid:dcf8c984-0abf-4110-89c9-1088c1a8de7b 9780134835211","10/10/2020 08:45",104,"Emulate Touchscreen a",
"calibre:5 uuid:dcf8c984-0abf-4110-89c9-1088c1a8de7b 9780134835211","10/10/2020 08:48",100,"Subclasses of InputEvent Class",
"file:///media/Books/Fluent Japanese from Anime and Manga How to Learn Japanese Vocabulary, Grammar, and Kanji the Easy and Fun Way by Eric Bodnar (z-lib.org).epub","11/9/2020 00:58",41,"For every major grammar point or topic covered, grab three, four, or five sentences and make one Listening card for each. You can use Cloze cards as well to test for kanji, vocabulary, and correct grammar usage if you think there is enough context to make the answer clear and unambiguous.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/19/2020 01:25",21,"Our actions aren’t based on specifics like that—we can’t pinpoint why we do what we do.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/19/2020 09:16",30,"Uncle Vanya ",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/19/2020 09:31",86,"The scene seemed somehow divorced from reality",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/19/2020 09:41",91,"the most mundane objects became somehow radiant by being his",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/21/2020 01:11",108,"Like dry ground welcoming the rain, he let the solitude, silence, and loneliness soak in",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/21/2020 01:34",123,"But there are times in this world when it’s not enough just not to do the wrong thing. Some people use that blank space as a kind of loophole. Do you understand what I’m saying?”",
